state_code,democratic_votes,republican_votes,other_votes,year,election
AL,"331,764","704,533","44,583","2,014",House
AK,"114,602","142,572","22,567","2,014",House
AS,"5,328","4,306",612,"2,014",House
AZ,"577,947","817,178","72,492","2,014",House
AR,"254,774","509,631","66,247","2,014",House
CA,"4,067,737","2,950,679","114,005","2,014",House
CO,"936,417","1,000,197","63,911","2,014",House
CT,"596,390","409,513","61,954","2,014",House
DE,"137,251","85,146","9,220","2,014",House
DC,"143,923","11,673","16,297","2,014",House
FL,"2,130,626","2,713,451","154,478","2,014",House
GA,"956,361","1,349,076",228,"2,014",House
GU,"20,693","14,956",113,"2,014",House
HI,"235,400","120,084","4,693","2,014",House
ID,"160,078","275,072",7,"2,014",House
IL,"1,822,779","1,721,865","23,358","2,014",House
IN,"502,104","793,759","44,951","2,014",House
IA,"509,189","595,865","15,280","2,014",House
KS,"311,530","540,756","9,791","2,014",House
KY,"508,151","887,157","2,318","2,014",House
LA,"551,663","1,157,474","131,266","2,014",House
ME,"305,230","228,059","59,057","2,014",House
MD,"978,267","704,400","20,370","2,014",House
MA,"1,475,442","308,598","29,776","2,014",House
MI,"1,519,030","1,466,749","103,698","2,014",House
MN,"985,760","913,539","64,240","2,014",House
MS,"230,014","329,169","67,096","2,014",House
MO,"513,600","838,283","74,420","2,014",House
MT,"148,690","203,871","15,402","2,014",House
NE,"185,234","340,816","9,480","2,014",House
NV,"210,147","28,053","304,809","2,014",House
NH,"247,469","232,379","1,072","2,014",House
NJ,"1,006,958","940,992","34,690","2,014",House
NM,"271,222","240,542",121,"2,014",House
NY,"1,788,105","1,257,412","606,190","2,014",House
NC,"1,361,695","1,596,942","18,607","2,014",House
ND,"95,678","138,100","14,892","2,014",House
MP,"8,549",,"4,547","2,014",House
OH,"1,179,587","1,770,923","49,651","2,014",House
OK,"174,022","457,613","21,778","2,014",House
OR,"778,139","582,909","89,654","2,014",House
PA,"1,467,594","1,833,205","28,404","2,014",House
PR,,,,"2,014",House
RI,"192,776","122,721",760,"2,014",House
SC,"377,025","734,456","44,301","2,014",House
SD,"92,485","183,834",,"2,014",House
TN,"448,421","848,846","73,894","2,014",House
TX,"1,474,016","2,684,592","294,891","2,014",House
UT,"183,491","351,034","31,445","2,014",House
VT,"123,349","59,432","8,723","2,014",House
VI,"21,224","1,964",224,"2,014",House
VA,"937,175","1,292,588","146,881","2,014",House
WA,"1,047,747","981,853",,"2,014",House
WV,"182,484","242,823","14,081","2,014",House
WI,"1,102,581","1,233,336","19,663","2,014",House
WY,"37,803","113,038","14,259","2,014",House
AL,,"795,606","22,484","2,014",Senate
AK,"129,431","135,445","17,524","2,014",Senate
AS,,,,"2,014",Senate
AZ,,,,"2,014",Senate
